model,year,price,transmission,mileage,fuelType,tax,mpg,engineSize,brand
 E Class,2018,22699,Automatic,29911,Diesel,145,65.7,2.0,Mercedes
 Fiesta,2019,22495,Manual,8000,Petrol,145,40.3,1.5,Ford
 Tucson,2016,8988,Manual,87146,Petrol,160,44.8,1.6,Hyundai
 Viva,2019,8750,Manual,4200,Petrol,145,46.3,1.0,Vauxhall
 Focus,2017,10789,Manual,21847,Petrol,145,60.1,1.0,Ford
 A4,2016,17290,Manual,33334,Diesel,30,67.3,2.0,Audi
 A1,2017,10500,Manual,30945,Petrol,0,67.3,1.0,Audi
 RAV4,2016,14495,Manual,49097,Diesel,125,60.1,2.0,Toyota
 C-HR,2019,26000,Automatic,6015,Hybrid,135,57.7,1.8,Toyota
 A4,2019,26570,Automatic,14875,Petrol,145,38.2,2.0,Audi
 Corsa,2015,5981,Manual,39000,Petrol,125,53.3,1.2,Vauxhall
 Polo,2017,9841,Manual,32377,Petrol,145,60.1,1.2,Volkswagen
 A3,2019,23940,Automatic,5804,Diesel,145,51.4,2.0,Audi
 B Class,2019,19998,Semi-Auto,14922,Petrol,145,45.6,1.3,Mercedes
 3 Series,2011,4994,Manual,112000,Diesel,30,62.8,2.0,BMW
 Focus,2017,11195,Semi-Auto,31648,Diesel,145,74.3,1.5,Ford
 RAV4,2010,6250,Manual,91500,Diesel,200,48.7,2.2,Toyota
 I10,2019,7990,Manual,5000,Petrol,145,60.1,1.0,Hyundai
 Octavia,2017,10798,Manual,38748,Petrol,145,54.3,1.4,Skoda
 Fiesta,2013,7500,Manual,34761,Petrol,0,65.7,1.0,Ford
 Fiesta,2015,8360,Manual,9892,Petrol,0,65.7,1.0,Ford
 Passat,2019,21995,Semi-Auto,14000,Petrol,145,40.4,1.5,Volkswagen
 A3,2013,8498,Manual,58867,Petrol,125,53.3,1.4,Audi
 Arteon,2019,27498,Manual,10,Diesel,145,52.3,2.0,Volkswagen
 Kuga,2018,12699,Manual,34003,Petrol,145,45.6,1.5,Ford
 B Class,2016,12490,Semi-Auto,38336,Diesel,20,70.6,1.5,Mercedes
 X1,2017,22561,Semi-Auto,17195,Diesel,145,60.1,2.0,BMW
 X6,2013,15380,Semi-Auto,71522,Diesel,300,38.2,3.0,BMW
 Fiesta,2018,11110,Manual,18447,Petrol,145,65.7,1.0,Ford
 Crossland X,2019,13299,Manual,2700,Petrol,145,47.1,1.2,Vauxhall
 Fiesta,2018,10900,Manual,25000,Petrol,145,65.7,1.0,Ford
 C-HR,2017,15798,Manual,28761,Petrol,150,47.1,1.2,Toyota
 Golf,2016,20630,Manual,14595,Petrol,200,39.8,2.0,Volkswagen
 Astra,2017,9150,Manual,31323,Petrol,125,51.4,1.4,Vauxhall
 E Class,2016,18850,Semi-Auto,24053,Diesel,125,56.5,2.1,Mercedes
 EcoSport,2018,14195,Manual,13616,Petrol,145,54.3,1.0,Ford
 M Class,2014,18500,Semi-Auto,48928,Diesel,200,46.3,2.1,Mercedes
 Fiesta,2017,8489,Automatic,68127,Petrol,0,57.7,1.0,Ford
 Focus,2017,11495,Manual,20000,Petrol,20,58.9,1.0,Ford
 Sharan,2019,19990,Semi-Auto,13461,Diesel,145,42.2,2.0,Volkswagen
 A7,2017,23450,Semi-Auto,37000,Diesel,145,62.8,3.0,Audi
 Golf,2019,26990,Automatic,6394,Petrol,145,32.8,2.0,Volkswagen
 Yeti Outdoor,2017,14998,Semi-Auto,9449,Petrol,125,51.4,1.2,Skoda
 A Class,2017,15599,Manual,13027,Petrol,145,51.4,1.6,Mercedes
 Mokka X,2018,10097,Manual,29790,Petrol,145,47.1,1.4,Vauxhall
 Fabia,2018,13995,Semi-Auto,6357,Petrol,145,60.1,1.0,Skoda
 Corolla,2003,1495,Manual,89000,Petrol,235,39.2,1.6,Toyota
 Up,2015,8200,Manual,8283,Petrol,20,60.1,1.0,Volkswagen
 Yeti Outdoor,2014,9300,Manual,45065,Diesel,200,47.9,2.0,Skoda
 Fiesta,2018,10489,Manual,11704,Petrol,150,65.7,1.0,Ford
 Corsa,2019,9990,Manual,100,Petrol,145,43.5,1.4,Vauxhall
 I10,2015,8695,Semi-Auto,8537,Petrol,145,47.9,1.2,Hyundai
 Fabia,2016,7995,Manual,31779,Petrol,20,60.1,1.2,Skoda
 Fabia,2019,13295,Automatic,14378,Petrol,145,60.1,1.0,Skoda
 Grand C-MAX,2016,11998,Manual,34883,Diesel,30,61.4,2.0,Ford
 A Class,2019,22980,Semi-Auto,14868,Diesel,145,67.3,1.5,Mercedes
 C Class,2018,19999,Automatic,25396,Diesel,145,61.4,2.1,Mercedes
 Grandland X,2019,18290,Automatic,9007,Diesel,145,57.7,1.5,Vauxhall
 SL CLASS,2017,20681,Automatic,25082,Diesel,150,70.6,2.1,Mercedes
 Kuga,2016,12995,Automatic,24000,Petrol,235,38.2,1.5,Ford
 Tiguan,2019,22794,Manual,7003,Diesel,145,47.9,2.0,Volkswagen
 Fiesta,2018,11350,Manual,20824,Petrol,150,65.7,1.0,Ford
 Polo,2019,18989,Semi-Auto,2658,Petrol,145,39.8,2.0,Volkswagen
 GLC Class,2016,23245,Automatic,61828,Diesel,125,56.5,2.1,Mercedes
 X1,2016,18650,Automatic,29330,Diesel,145,55.4,2.0,BMW
